,Topline_csat,billing_csat,client_id,claim_csat_t3b,role,ee_csat_t3b_tem,ee_csat_t3b_vb,ee_csat_t3b_ltd,billing_m,issue_m,csat_onbrd,lives_group,Tenure_bin,hrc_flag,total_leave_indicator,has_TCS,BrkrSeg_1,DataFeedInd,LTD_ind,STD_ind,Dent_ind,VSN_ind,LIF_ind,ADD_ind,VB_ind,FML_ind,issue_handling_csat
7931,10,11,1122266268,1,3,1,,,0,0,9,100to499,3to5,0,FALSE,0,z. Unknown,N,0,0,0,0,0,0,1,0,
7932,10,10,355946646,1,4,1,,,,,,,,,,,,,,,,,,,,,10
7933,7,9,1463749995,0,3,0.75,,,,,,,,,,,,,,,,,,,,,
7934,8,8,1278588055,1,3,1,,,0,0.305084746,10,100to499,1,0,TRUE,1,g. $500K - $5M,Y,1,1,0,0,1,1,1,1,9
7935,9,5,284671806,1,2,1,1,,1.666666667,0.210526316,9,100to499,6to10,1,FALSE,1,h. $5M - $50M,Y,1,0,0,0,1,1,1,0,
7936,1,1,1019545060,,4,,,,,,,,,,,,,,,,,,,,,,
7937,10,10,5.55555E+15,,1,,,,,,,,,,,,,,,,,,,,,,
7938,10,10,531673,1,3,1,,,0.5,0.75,10,LT100,GT10,0,FALSE,0,f. $50K - $500K,N,0,1,0,0,1,1,0,0,
7939,8,9,5.55555E+15,1,4,0.666666667,,,,,,,,,,,,,,,,,,,,,
7940,10,10,576446,1,4,1,,,0,0,10,LT100,GT10,0,FALSE,0,g. $500K - $5M,N,0,1,0,0,0,0,0,0,
7941,1,11,726327,0.2,3,0.75,,,0.75,0.003717472,10,500to1999,GT10,1,TRUE,1,g. $500K - $5M,N,1,0,0,0,1,1,1,1,
7942,9,9,5.55555E+15,,3,,,,0,1,10,LT100,GT10,0,FALSE,0,h. $5M - $50M,N,0,0,0,0,1,1,0,0,
7943,8,8,5.55555E+15,1,4,1,,,,,,,,,,,,,,,,,,,,,
7944,7,6,5.55555E+15,1,2,1,1,,,,,,,,,,,,,,,,,,,,
7945,8,9,1501353494,1,4,1,1,1,,,,,,,,,,,,,,,,,,,
7946,8,9,5.55555E+15,0,3,0,,,,,,,,,,,,,,,,,,,,,
7947,9,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,10
7948,9,6,1303521594,1,4,1,,,,,,,,,,,,,,,,,,,,,
7949,8,8,786618,,2,,,,0,1,10,LT100,GT10,0,FALSE,0,f. $50K - $500K,N,1,1,0,0,1,1,0,0,2
